et heus tu !
Abest etiam nunc.
acta res est.
ad Bithynicum scripsi.
ad haec rescribe.
Ad me reuertar.
Ad prima redeo.
ad priuata uenio.
Ad senatumne uenient.
Addictus erat tibi.
aderat etiam Fauonius.
Agrum eis diuisit.
aliquando fuit meus.
aliquantum est negoti.
Ambitus redit immanis.
amo igitur uoluntatem.
Anni secundis heredibus.
Anterum tibi commendo.
Antoni exhausit domus.
appellabis etiam Papiam.
At aliquando incenditur.
At dedit poenas.
At dolore uacant.
At ego suasi.
At erat inimicus.
At fuit fama.
at hic clodicat.
At laetatus sum.
at Latine loquitur.
At legatos misimus.
At loquitur pulchre.
At memoria minuitur.
At neminem cepisti.
At nunc audio.
at pulchellae sunt.
At sectabantur multi.
Atticae plurimam salutem.
audes supplicium deprecari.
audes uerbum facere.
balineum calfieri iubebo.
Bellieni domus deflagrauit.
Bene aetatem fert.
Bene hercle faciunt.
Biennium prouinciam obtinuit.
boni debent dicere.
Bruti accessit exercitus.
Capuam profectus est.
caue aliter facias.
Cedant arma togae.
cenati discubuerunt ibidem.
Certe non est.
certe non potest.
certi erant consules.
Cetera non colligam.
Cognosce nunc cetera.
cognosces cum legeris.
Cognoscite Metelli litteras.
comes est idoneus.
commune enim gaudium.
confecta res est.
confestim Iconium ueni.
conserua te mihi.
conturbaui Graecam nationem.
Corcyram bellissime nauigauimus.
Corriguntur leges censoriae.
Cras mulier erit.
Crassi erat filia.
Cum Chrysogono sunt.
cura te diligenter.
Cura ut ualeas.
de fratre satis.
de hortis satis.
De subselliis queror.
derideri te putas.
describo et remitto.
Dicaearchum recte amas.
Dicendum necessario est.
Dici non potest.
Difficile est negare.
Dionysium iube saluere.
domi negauit esse.
domi recte est.
Dubitate quid agatis.
ea mihi perplacet.
efficiemus rem gloriosissimam.
Egnatius mihi scripsit.
ego me repressi.
Ego nauem paraui.
ego non puto.
Eodem duce redibant.
epistulam tibi misi.
equidem nihil intermittam.
ergo ita accidit.
Eripiamus huic aegritudinem.
Erit breuis culmus.
erit mihi gratissimum.
est enim rumor.
Est uero ita.
Etiam Sallustio ignouit.
Etruriam discriminat Cassia.
Exheredare filium uoluit.
faciam quod uolunt.
Filium morte multauit.
fit utrumque diligenter.
foris ualde plauditur.
Formulam non noras.
Fratres saltem exhibe.
Frustra tempus contero.
Fufius tribunus intercessit.
Habebis id quidem.
Habeo ius pontificium.
habes coniecturam meam.
Habes Hirti epistulam.
Habes meam causam.
Habes res Romanas.
habetur senatus frequens.
haec dicuntur inconstantissime.
Haec ille dixit.
haec me excruciant.
Haec pariunt auaritiam.
haec properantes scripsimus.
haec uestra sunt.
has litteras dedimus.
Haud equidem adsentior.
Hereditas aliqua uenit.
Heres erat filia.
hic mihi ignosces.
hic mulier erubuit.
Hirtius est tuus.
hoc here effecit.
hoc igitur explica.
hoc licere uolebant.
hoc nos dicimus.
hodie Spintherem exspecto.
homines uisi sumus.
hortus domi est.
Horum nihil negat.
iam enim luciscit.
Id erat profecto.
id hercle restabat.
id uelim cogites.
ignorabas haec omnia.
illis egi gratias.
Immo locuples erat.
Improbas frumentum Siculorum.
in Macedonia congrediemur.
In sententia permaneto.
inuideo potentiae Vestori.
iocari me putas.
ipsum Agusium audies.
is erat aeger.
Is nummum dabat.
itaque alia cogitat.
itaque eum placaui.
itaque miser torquetur.
Iubet agros emi.
iubet recuperatores reicere.
Iudicium fiat statim.
Laenas hoc receperat.
Ligus non aderat.
Longus fuit dolor.
Magium fratrem reliquit.
Magius est mortuus.
magna res est.
magna turba est.
Magnum dicis malum.
magnus dolor accessit.
maiora ista erunt.
Male hercule narras.
Male iudicauit populus.
mancipia Sallustio reddidit.
Matinium non noui.
me quoque accusat.
Mentitus est Cluuius.
Mescidium mecum habui.
Messallae copias nosti.
Mihi haec uidentur.
Mihi ita uidetur.
Mihi pecuniam tribuit.
Mihi uero placet.
Minus est mirandum.
mirabilis uir est.
mirifice est conturbatus.
misi tibi Torquatum.
moleste tulit Scaptius.
Moneo ne faciatis.
moriar nisi facete.
moritur interim Vindillus.
Multos necesse est.
multum te amamus.
nam ibi erat.
negare non poterunt.
Neminem uestrum fallit.
nemo est minus.
Nepotis epistulam exspecto.
neque tamen lugent.
nihil enim maluerunt.
nihil legi humanius.
nihil praeterea noui.
Nihil profecto sapis.
nihil tamen certi.
nil me laedet.
nimium ineptus es.
nominibus ueterum gloriantur.
non amicos prodidisti.
non audebit negare.
Non conficit tabulas.
non deest oratio.
non enim adgnosco.
non enim intellego.
